Original_Layer_Name,New_Layer_Name,CQL_FILTER
BURNPLAN21,burnplan21,
CATCHMENTS_BASIN100,basin100,
CATCHMENTS_BIOLINK500,biolink500,
CATCHMENTS_CMA100,cma100,
CATCHMENTS_COASTAL_ACID_SULPHATE_SOILS,coastal_acid_sulphate_soils,
CATCHMENTS_FLAGSHIP500,flagship500,
CATCHMENTS_GMU250,gmu250,
CATCHMENTS_LSYS100,lsys100,lscode !=  ' '
CATCHMENTS_LANDUSE_2014,landuse_2014,
CATCHMENTS_LSYS250,lsys250,
CROWNLAND_APIARY,apiary,
CROWNLAND_HUNT25_CLOSED,hunt25_closed,
CROWNLAND_PARKRES,parkres,
CROWNLAND_PLM25,plm25,
CROWNLAND_PLM25_ALPINE_RESORT,plm25,mmgt_ongen='ALPINE RESORT'
CROWNLAND_PLM25_CMNWTH_LAND,plm25,mmgt_ongen='COMMONWEALTH LAND'
CROWNLAND_PLM25_COASTAL_RES,plm25,"mmgt_ongen in ('COASTAL RESERVE','COASTAL WATERS')"
CROWNLAND_PLM25_COMM_USE_AREA,plm25,mmgt_ongen='COMMUNITY USE AREA'
CROWNLAND_PLM25_EARTH_RESOURCES,plm25,mmgt_ongen='EARTH RESOURCES'
CROWNLAND_PLM25_FOREST_PARK,plm25,mmgt_ongen='FOREST PARK'
CROWNLAND_PLM25_H_A_C_FEAT_RES,plm25,mmgt_ongen='HISTORIC AND CULTURAL FEATURES RESERVE'
CROWNLAND_PLM25_MARINE_NP,plm25,mmgt_ongen='MARINE NATIONAL PARK'
CROWNLAND_PLM25_MARINE_SANC,plm25,mmgt_ongen='MARINE SANCTUARY'
CROWNLAND_PLM25_NAT_CATCH,plm25,mmgt_ongen='ESSENTIALLY NATURAL CATCHMENT'
CROWNLAND_PLM25_NATIONAL_P,plm25,mmgt_ongen='NATIONAL PARK'
CROWNLAND_PLM25_NATURAL_FEAT,plm25,"mmgt_ongen in ('NATURAL FEATURES RESERVE','SCENIC RESERVE')"
CROWNLAND_PLM25_NATURE_CONSERV,plm25,mmgt_ongen='NATURE CONSERVATION RESERVE'
CROWNLAND_PLM25_NPA_SHED_3,plm25,mmgt_ongen='NPA SCHEDULE 3 OTHER PARK'
CROWNLAND_PLM25_NPA_SHED_4,plm25,mmgt_ongen='NPA SCHEDULE 4 PARK OR RESERVE'
CROWNLAND_PLM25_OTHER,plm25,"mmgt_ongen in ('OTHER (NON SCHEDULED)','LIGHTHOUSE RESERVE','PV MANAGED LAND','PHILLIP ISLAND NATURE PARK')"
CROWNLAND_PLM25_OVERLAYS,plm25_overlays,
CROWNLAND_PLM25_OVERLAYS_HR,plm25_overlays,mmgt_ongrd='Heritage River'
CROWNLAND_PLM25_OVERLAYS_NCA,plm25_overlays,mmgt_ongrd='Natural Catchment Area'
CROWNLAND_PLM25_OVERLAYS_RA,plm25_overlays,mmgt_ongrd='Reference Area'
CROWNLAND_PLM25_OVERLAYS_RNA,plm25_overlays,mmgt_ongrd='Remote and Natural Area'
CROWNLAND_PLM25_OVERLAYS_WZ,plm25_overlays,mmgt_ongrd='Wilderness Zone'
CROWNLAND_PLM25_PLANTATION,plm25,mmgt_ongen='PLANTATION'
CROWNLAND_PLM25_PORT_COAST_FAC,plm25,mmgt_ongen='PORT AND COASTAL FACILITY'
CROWNLAND_PLM25_PROP_NPA,plm25,mmgt_ongen='PROPOSED NATIONAL PARKS ACT'
CROWNLAND_PLM25_REGIONAL_P,plm25,"mmgt_ongen in ('REGIONAL PARK','METROPOLITAN PARK','RESERVOIR PARK')"
CROWNLAND_PLM25_SERVICE_UTIL,plm25,mmgt_ongen='SERVICES AND UTILITIES'
CROWNLAND_PLM25_STATE_FOREST,plm25,mmgt_ongen='STATE FOREST'
CROWNLAND_PLM25_STATE_PARK,plm25,mmgt_ongen='STATE PARK'
CROWNLAND_PLM25_UNCAT_PUBLIC,plm25,mmgt_ongen='UNCATEGORISED PUBLIC LAND'
CROWNLAND_PLM25_WATER_BODY,plm25,mmgt_ongen='WATER BODY'
CROWNLAND_PLM25_WATER_PROD,plm25,mmgt_ongen='WATER PRODUCTION'
CROWNLAND_PLM25_WILDERNESS,plm25,mmgt_ongen='WILDERNESS PARK'
CROWNLAND_PLMGEN,plmgen,
CROWNLAND_PLMGEN_ALPINE_RESORT,plmgen,mmgt_ongen='ALPINE RESORT'
CROWNLAND_PLMGEN_CMNWTH_LAND,plmgen,mmgt_ongen='COMMONWEALTH LAND'
CROWNLAND_PLMGEN_COASTAL_RES,plmgen,"mmgt_ongen in ('COASTAL RESERVE','COASTAL WATERS')"
CROWNLAND_PLMGEN_COMM_USE_AREA,plmgen,mmgt_ongen='COMMUNITY USE AREA'
CROWNLAND_PLMGEN_EARTH_RESOURCES,plmgen,mmgt_ongen='EARTH RESOURCES'
CROWNLAND_PLMGEN_FOREST_PARK,plmgen,mmgt_ongen='FOREST PARK'
CROWNLAND_PLMGEN_H_A_C_FEAT_RES,plmgen,mmgt_ongen='HISTORIC AND CULTURAL FEATURES RESERVE'
CROWNLAND_PLMGEN_MARINE_NP,plmgen,mmgt_ongen='MARINE NATIONAL PARK'
CROWNLAND_PLMGEN_MARINE_SANC,plmgen,mmgt_ongen='MARINE SANCTUARY'
CROWNLAND_PLMGEN_NAT_CATCH,plmgen,mmgt_ongen='ESSENTIALLY NATURAL CATCHMENT'
CROWNLAND_PLMGEN_NATIONAL_P,plmgen,mmgt_ongen='NATIONAL PARK'
CROWNLAND_PLMGEN_NATURAL_FEAT,plmgen,"mmgt_ongen in ('NATURAL FEATURES RESERVE','SCENIC RESERVE')"
CROWNLAND_PLMGEN_NATURE_CONSERV,plmgen,mmgt_ongen='NATURE CONSERVATION RESERVE'
CROWNLAND_PLMGEN_NPA_SHED_3,plmgen,mmgt_ongen='NPA SCHEDULE 3 OTHER PARK'
CROWNLAND_PLMGEN_NPA_SHED_4,plmgen,mmgt_ongen='NPA SCHEDULE 4 PARK OR RESERVE'
CROWNLAND_PLMGEN_OTHER,plmgen,"mmgt_ongen in ('OTHER (NON SCHEDULED)','LIGHTHOUSE RESERVE','PV MANAGED LAND','PHILLIP ISLAND NATURE PARK')"
CROWNLAND_PLMGEN_PLANTATION,plmgen,mmgt_ongen='PLANTATION'
CROWNLAND_PLMGEN_PORT_COAST_FAC,plmgen,mmgt_ongen='PORT AND COASTAL FACILITY'
CROWNLAND_PLMGEN_PROP_NPA,plmgen,mmgt_ongen='PROPOSED NATIONAL PARKS ACT'
CROWNLAND_PLMGEN_REGIONAL_P,plmgen,"mmgt_ongen in ('REGIONAL PARK','METROPOLITAN PARK','RESERVOIR PARK')"
CROWNLAND_PLMGEN_SERVICE_UTIL,plmgen,mmgt_ongen='SERVICES AND UTILITIES'
CROWNLAND_PLMGEN_STATE_FOREST,plmgen,mmgt_ongen='STATE FOREST'
CROWNLAND_PLMGEN_STATE_PARK,plmgen,mmgt_ongen='STATE PARK'
CROWNLAND_PLMGEN_UNCAT_PUBLIC,plmgen,mmgt_ongen='UNCATEGORISED PUBLIC LAND'
CROWNLAND_PLMGEN_WATER_BODY,plmgen,mmgt_ongen='WATER BODY'
CROWNLAND_PLMGEN_WATER_PROD,plmgen,mmgt_ongen='WATER PRODUCTION'
CROWNLAND_PLMGEN_WILDERNESS,plmgen,mmgt_ongen='WILDERNESS PARK'
CULTURE_RAP,rap,
DISPLAY_VIEW_POLYGON,display_view_polygon,
EMERGENCY_MANAGEMENT_REGION,emergency_management_region,
ENERGY_ELECTRICITY_DISTRIBUTOR,electricity_distributor,
ENERGY_FACILITIES,energy_facilities,
ENVIRONPROTECT_ENVIRO_AUDIT_LOC_POINT,enviro_audit_point,
ENVIRONPROTECT_ENVIRO_AUDIT_LOC_POLYGON,enviro_audit_polygon,
ENVIRONPROTECT_EPA_LICENCE_POINT,epa_licence_point,
ENVIRONPROTECT_EPA_LICENCE_POLYGON,epa_licence_polygon,
ENVIRONPROTECT_GQRUZ_POINT,gqruz_point,
ENVIRONPROTECT_GQRUZ_POLYGON,gqruz_polygon,
ENVIRONPROTECT_PSR_POINT,psr_point,
ENVIRONPROTECT_PSR_POLYGON,psr_polygon,
ENVIRONPROTECT_SANDS_MCDOUGALL_PUBLIC,sands_mcdougall_public,
ENVIRONPROTECT_VLR_POINT,vlr_point,
ENVIRONPROTECT_VLR_POLYGON,vlr_polygon,
FIRE_BURNPLAN13,burnplan13,
FIRE_HISTORY_FREQUENCY,fire_history_frequency,
FLOOD_CONTOUR_100Y_ARI,contour_100y_ari,
FLOOD_CONTOUR_10Y_ARI,contour_10y_ari,
FLOOD_CONTOUR_200Y_ARI,contour_200y_ari,
FLOOD_CONTOUR_20Y_ARI,contour_20y_ari,
FLOOD_CONTOUR_500Y_ARI,contour_500y_ari,
FLOOD_CONTOUR_50Y_ARI,contour_50y_ari,
FLOOD_CONTOUR_5Y_ARI,contour_5y_ari,
FLOOD_EXTENT_1000Y_ARI,extent_1000y_ari,
FLOOD_EXTENT_100Y_ARI,extent_100y_ari,
FLOOD_EXTENT_10Y_ARI,extent_10y_ari,
FLOOD_EXTENT_200Y_ARI,extent_200y_ari,
FLOOD_EXTENT_30Y_ARI,extent_30y_ari,
FLOOD_EXTENT_500Y_ARI,extent_500y_ari,
FLOOD_EXTENT_50Y_ARI,extent_50y_ari,
FLOOD_EXTENT_5Y_ARI,extent_5y_ari,
FLOOD_EXTENT_PMF,extent_pmf,
FLOOD_FLOODWAY,floodway,
FLOOD_FLOW_DIRECTION,flow_direction,
FLOOD_STRUCTURE,flood_structure,
FLOOD_STRUCTURE_CHANNEL_OUTFALL,flood_structure,type='channel outfall structure'
FLOOD_STRUCTURE_CHANNEL_REGULATOR,flood_structure,type='channel regulator'
FLOOD_STRUCTURE_CULVERT,flood_structure,type='culvert'
FLOOD_STRUCTURE_DAM_RESERVOIR,flood_structure,type='dam or reservoir'
FLOOD_STRUCTURE_DRAIN_OUTFALL,flood_structure,type='drain outfall dtructure'
FLOOD_STRUCTURE_DRAIN_REGULATOR,flood_structure,type='drain regulator'
FLOOD_STRUCTURE_FLOOD_EFFLUENT,flood_structure,type='flood effluent structure'
FLOOD_STRUCTURE_FLOOD_REGUULATOR,flood_structure,type='flood regulator'
FLOOD_STRUCTURE_OCCUPATION_CROSSING,flood_structure,type='occupation crossing'
FLOOD_STRUCTURE_OTHER_BRIDGE,flood_structure,type='other bridge'
FLOOD_STRUCTURE_RAILWAY_BRIDGE,flood_structure,type='railway bridge'
FLOOD_STRUCTURE_RETARDING_BASIN,flood_structure,type='retarding basin'
FLOOD_STRUCTURE_ROAD_BRIDGE,flood_structure,type='road bridge'
FLOOD_STRUCTURE_ROAD_EMBANKMENT,flood_structure,type='Road Embankment Location'
FLOOD_STRUCTURE_SYPHON,flood_structure,type='syphon'
FLOOD_STRUCTURE_WEIR,flood_structure,type='weir'
FLORAFAUNA1_NV1750_EVCBCS,nv1750_evcbcs,
FLORAFAUNA1_NV1750_EVCBCS_10_1,nv1750_evcbcs,evc_subgp=10.1
FLORAFAUNA1_NV1750_EVCBCS_10_2,nv1750_evcbcs,evc_subgp=10.2
FLORAFAUNA1_NV1750_EVCBCS_11_1,nv1750_evcbcs,evc_subgp=11.1
FLORAFAUNA1_NV1750_EVCBCS_11_2,nv1750_evcbcs,evc_subgp=11.2
FLORAFAUNA1_NV2005_EVCBCS,nv2005_evcbcs,
FLORAFAUNA1_NV2005_EVCBCS_1_1,nv2005_evcbcs,evc_subgp=1.1
FLORAFAUNA1_NV2005_EVCBCS_10_1,nv2005_evcbcs,evc_subgp=10.1
FLORAFAUNA1_NV2005_EVCBCS_10_2,nv2005_evcbcs,evc_subgp=10.2
FLORAFAUNA1_NV2005_EVCBCS_11_1,nv2005_evcbcs,evc_subgp=11.1
FLORAFAUNA1_NV2005_EVCBCS_11_2,nv2005_evcbcs,evc_subgp=11.2
FLORAFAUNA1_NV2005_EVCBCS_12_1,nv2005_evcbcs,evc_subgp=12.1
FLORAFAUNA1_NV2005_EVCBCS_13_1,nv2005_evcbcs,evc_subgp=13.1
FLORAFAUNA1_NV2005_EVCBCS_13_2,nv2005_evcbcs,evc_subgp=13.2
FLORAFAUNA1_NV2005_EVCBCS_13_3,nv2005_evcbcs,evc_subgp=13.3
FLORAFAUNA1_NV2005_EVCBCS_13_4,nv2005_evcbcs,evc_subgp=13.4
FLORAFAUNA1_NV2005_EVCBCS_14_1,nv2005_evcbcs,evc_subgp=14.1
FLORAFAUNA1_NV2005_EVCBCS_14_2,nv2005_evcbcs,evc_subgp=14.2
FLORAFAUNA1_NV2005_EVCBCS_15_1,nv2005_evcbcs,evc_subgp=15.1
FLORAFAUNA1_NV2005_EVCBCS_15_2,nv2005_evcbcs,evc_subgp=15.2
FLORAFAUNA1_NV2005_EVCBCS_16_1,nv2005_evcbcs,evc_subgp=16.1
FLORAFAUNA1_NV2005_EVCBCS_16_2,nv2005_evcbcs,evc_subgp=16.2
FLORAFAUNA1_NV2005_EVCBCS_16_3,nv2005_evcbcs,evc_subgp=16.3
FLORAFAUNA1_NV2005_EVCBCS_17_1,nv2005_evcbcs,evc_subgp=17.1
FLORAFAUNA1_NV2005_EVCBCS_17_2,nv2005_evcbcs,evc_subgp=17.2
FLORAFAUNA1_NV2005_EVCBCS_17_3,nv2005_evcbcs,evc_subgp=17.3
FLORAFAUNA1_NV2005_EVCBCS_17_4,nv2005_evcbcs,evc_subgp=17.4
FLORAFAUNA1_NV2005_EVCBCS_18_1,nv2005_evcbcs,evc_subgp=18.1
FLORAFAUNA1_NV2005_EVCBCS_18_2,nv2005_evcbcs,evc_subgp=18.2
FLORAFAUNA1_NV2005_EVCBCS_19_1,nv2005_evcbcs,evc_subgp=19.1
FLORAFAUNA1_NV2005_EVCBCS_19_2,nv2005_evcbcs,evc_subgp=19.2
FLORAFAUNA1_NV2005_EVCBCS_2_1,nv2005_evcbcs,evc_subgp=2.1
FLORAFAUNA1_NV2005_EVCBCS_2_2,nv2005_evcbcs,evc_subgp=2.2
FLORAFAUNA1_NV2005_EVCBCS_20_1,nv2005_evcbcs,evc_subgp=20.1
FLORAFAUNA1_NV2005_EVCBCS_3_1,nv2005_evcbcs,evc_subgp=3.1
FLORAFAUNA1_NV2005_EVCBCS_4_1,nv2005_evcbcs,evc_subgp=4.1
FLORAFAUNA1_NV2005_EVCBCS_5_1,nv2005_evcbcs,evc_subgp=5.1
FLORAFAUNA1_NV2005_EVCBCS_5_2,nv2005_evcbcs,evc_subgp=5.2
FLORAFAUNA1_NV2005_EVCBCS_5_3,nv2005_evcbcs,evc_subgp=5.3
FLORAFAUNA1_NV2005_EVCBCS_6_1,nv2005_evcbcs,evc_subgp=6.1
FLORAFAUNA1_NV2005_EVCBCS_6_2,nv2005_evcbcs,evc_subgp=6.2
FLORAFAUNA1_NV2005_EVCBCS_7_1,nv2005_evcbcs,evc_subgp=7.1
FLORAFAUNA1_NV2005_EVCBCS_7_2,nv2005_evcbcs,evc_subgp=7.2
FLORAFAUNA1_NV2005_EVCBCS_8_1,nv2005_evcbcs,evc_subgp=8.1
FLORAFAUNA1_NV2005_EVCBCS_8_2,nv2005_evcbcs,evc_subgp=8.2
FLORAFAUNA1_NV2005_EVCBCS_9_1,nv2005_evcbcs,evc_subgp=9.1
FLORAFAUNA1_NV2005_EVCBCS_D,nv2005_evcbcs,evc_bcs='D'
FLORAFAUNA1_NV2005_EVCBCS_E,nv2005_evcbcs,evc_bcs='E'
FLORAFAUNA1_NV2005_EVCBCS_LC,nv2005_evcbcs,evc_bcs='LC'
FLORAFAUNA1_NV2005_EVCBCS_R,nv2005_evcbcs,evc_bcs='R'
FLORAFAUNA1_NV2005_EVCBCS_V,nv2005_evcbcs,evc_bcs='V'
FLORAFAUNA1_RAMSAR25,ramsar25,
FLORAFAUNA1_VBIOREG100,vbioreg100,
FLORAFAUNA1_WETLAND_1788,wetland_1788,
FLORAFAUNA1_WETLAND_1994,wetland_1994,
FLORAFAUNA1_WETLAND_LANDSCAPE,wetland_landscape,
FLORAFAUNA1_WETLAND500,wetland500,
FLORAFAUNA1_WETLANDDIR,wetlanddir,
FORESTS_RAINFOR25_MURRUNGOWAR,rainfor25_murrungowar,
FORESTS_FCOV1000_1869_ABSENT,fcov1000_1869,forest_1869='A'
FORESTS_FCOV1000_1869_PRESENT,fcov1000_1869,forest_1869='P'
FORESTS_FCOV500_72_ABSENT,fcov500_7287,forest_72='A'
FORESTS_FCOV500_72_PRESENT,fcov500_7287,forest_72='P'
FORESTS_FCOV500_87_ABSENT,fcov500_7287,forest_87='A'
FORESTS_FCOV500_87_PRESENT,fcov500_7287,forest_87='P'
FORESTS_RECWEB_ASSET,recweb_asset,
FORESTS_RECWEB_CARPARK,recweb_carpark,
FORESTS_RECWEB_HISTORIC_RELIC,recweb_historic_relic,
FORESTS_RECWEB_HUT,recweb_hut,
FORESTS_RECWEB_POI,recweb_poi,
FORESTS_RECWEB_SITE,recweb_site,
FORESTS_RECWEB_TRACK,recweb_track,
FORESTS_SVEG100,sveg100,
FORESTS_VICFORESTS_ALLOCATION_APR2019,vicforests_allocation_apr2019,
FRV_DISTRICT,frv_district,
FRV_LEGISLATED_BOUNDARY,frv_legislated_boundary,
FRV_REGION,frv_region,
FRV_RESPONSE_AREA,frv_response_area,
MINERALS_ALTERN100_POLYGON,altern100_polygon,
MINERALS_ANASURV,anasurv,
MINERALS_BASINS,basins,
MINERALS_BORES_V_PUBLIC,bores_v_public,
MINERALS_COAL_BDY,coal_bdy,
MINERALS_COAL_FLOOR,coal_floor,
MINERALS_COAL_ISOPACH,coal_isopach,
MINERALS_COAL_RES,coal_res,
MINERALS_COAL_ROOF,coal_roof,
MINERALS_DEEPLD100_ARC,deepld100_arc,
MINERALS_DEEPLD100_POLYGON,deepld100_polygon,
MINERALS_DEEPLD250_POLYGON,deepld250_polygon,
MINERALS_DIGSURV,digsurv,
MINERALS_DLA,dla,
MINERALS_DLL,dll,
MINERALS_DURI100_POLYGON,duri100_polygon,
MINERALS_EIIA,eiia,
MINERALS_EL,el,
MINERALS_ELHIST,elhist,
MINERALS_ERUPTION_PTS,eruption_pts,
MINERALS_EWA,ewa,
MINERALS_EWAHST,ewahst,
MINERALS_EXC,exc,
MINERALS_FACIES100_POLYGON,facies100_polygon,
MINERALS_FACILITY,facility,
MINERALS_FLTROCK100_POLYGON,fltrock100_polygon,
MINERALS_FOSSILS,fossils,
MINERALS_GCHEM,gchem,
MINERALS_GEOL100_ARC,geol100_arc,
MINERALS_GEOL100_POLYGON,geol100_polygon,
MINERALS_GEOL1M_ARC,geol1m_arc,
MINERALS_GEOL1M_POLYGON,geol1m_polygon,
MINERALS_GEOL250_ARC,geol250_arc,
MINERALS_GEOL250_POLYGON,geol250_polygon,
MINERALS_GEOL4M_POLYGON,geol4m_polygon,
MINERALS_GEXCURS,gexcurs,
MINERALS_GMLHST,gmlhst,
MINERALS_GOLDFLD100_POLYGON,goldfld100_polygon,
MINERALS_GPMISCL100,gpmiscl100,
MINERALS_GPMISCL250,gpmiscl250,
MINERALS_GPSGEOL1100_POLYGON,gpsgeol1100_polygon,
MINERALS_GPSTRLINE100,gpstrline100,
MINERALS_GPSTRLINE250,gpstrline250,
MINERALS_GRAT100KM,grat100km,
MINERALS_GRAT10KM,grat10km,
MINERALS_GRAT1KM,grat1km,
MINERALS_GRATMIN,gratmin,
MINERALS_GRAVITY,gravity,
MINERALS_GSVMI,gsvmi,
MINERALS_INSPECT,inspect,
MINERALS_MIN,min,
MINERALS_MINERAL,mineral,
MINERALS_MINERALP,mineralp,
MINERALS_MINHST,minhst,
MINERALS_MINSITE,minsite,
MINERALS_MINTEN,minten,
MINERALS_MISCL100,miscl100,
MINERALS_MISCL250,miscl250,
MINERALS_MP,mp,
MINERALS_NUGGET,nugget,
MINERALS_OILGAS,oilgas,
MINERALS_OUTCROP,outcrop,
MINERALS_PETPHYS,petphys,
MINERALS_PET_WELLS,pet_wells,province_state='VIC'
MINERALS_PETROL,petrol,
MINERALS_PETROLPRO,petrolpro,
MINERALS_PIPELINE,pipeline,
MINERALS_PL,pl,
MINERALS_RL,rl,
MINERALS_ROCKS,rocks,
MINERALS_RRDURI100_ARC,rrduri100_arc,
MINERALS_RRDURI100_POLYGON,rrduri100_polygon,
MINERALS_RRRADSIG100_ARC,rrradsig100_arc,
MINERALS_RRRADSIG100_POLYGON,rrradsig100_polygon,
MINERALS_RRREGO100_ARC,rrrego100_arc,
MINERALS_RRREGO100_POLYGON,rrrego100_polygon,
MINERALS_SEISMIC_ARC,seismic_arc,
MINERALS_SEISMIC_POINT,seismic_point,
MINERALS_SHAFT,shaft,
MINERALS_SHALLD100_ARC,shalld100_arc,
MINERALS_SHALLD100_POLYGON,shalld100_polygon,
MINERALS_SHALWK100_ARC,shalwk100_arc,
MINERALS_SHALWK100_POLYGON,shalwk100_polygon,
MINERALS_SIGFEAT,sigfeat,
MINERALS_SITES,sites,
MINERALS_SPRINGS,springs,
MINERALS_STRLINE100,strline100,
MINERALS_STRLINE1M,strline1m,
MINERALS_STRLINE250,strline250,
MINERALS_STRUC,struc,
MINERALS_TLHST,tlhst,
MINERALS_XSEC_COAL,xsec_coal,
PLANNING_HERITAGE_INVENTORY,hermes,vhi_num like 'H%'
PLANNING_HERITAGE_REGISTER,hermes,vhr_num is not null
MTP_EES_FUTURE_STN_ENTRANCES,mtp_ees_future_stn_entrances,
MTP_EES_STATION_ENTRANCES,mtp_ees_station_entrances,
MTP_EES_TUNNEL_ENTRANCES,mtp_ees_tunnel_entrances,
MTP_EES_UNDERGROUND_RAIL_TRACK,mtp_ees_underground_rail_track,
MTP_EES_UNDERGROUND_STATIONS,mtp_ees_underground_stations,
NV2005_FFG_COMM,nv2005_ffg_comm,
PLANNING_BUSHFIRE_PRONE_AREA,bushfire_prone_area,
PORT_PHILLIP_AIDS_TO_NAV,port_phillip_aids_to_nav,
PPTN_LINES,pptn_lines,
PPTN_POINTS,pptn_points,
PTV_METRO_BUS_ROUTE,ptv_metro_bus_route,
PTV_METRO_BUS_STOP,ptv_metro_bus_stop,
PTV_METRO_TRAIN_STATION,ptv_metro_train_station,
PTV_METRO_TRAM_ROUTE,ptv_metro_tram_route,
PTV_METRO_TRAM_STOP,ptv_metro_tram_stop,
PTV_REGIONAL_BUS_ROUTE,ptv_regional_bus_route,
PTV_REGIONAL_BUS_STOP,ptv_regional_bus_stop,
PTV_REGIONAL_COACH_ROUTE,ptv_regional_coach_route,
PTV_REGIONAL_COACH_STOP,ptv_regional_coach_stop,
PTV_REGIONAL_TRAIN_STATION,ptv_regional_train_station,
PTV_SKYBUS_ROUTE,ptv_skybus_route,
PTV_SKYBUS_STOP,ptv_skybus_stop,
PTV_TRAIN_CARPARK,ptv_train_carpark,
PTV_TRAIN_CORRIDOR_CENTRELINE,ptv_train_corridor_centreline,
PTV_TRAIN_STATION_BIKE_STORAGE,ptv_train_station_bike_storage,
PTV_TRAIN_STATION_PLATFORM,ptv_train_station_platform,
PTV_TRAIN_TRACK_CENTRELINE,ptv_train_track_centreline,
PTV_TRAM_TRACK_CENTRELINE,ptv_tram_track_centreline,
PUBLICLANDUSE_VEAC_METRO_OPEN_SPACE,veac_metro_open_space,
RESOURCEFOOTPRINT,resourcefootprint,
SMES_FULL,smes_full,
SOIL_TYPE,soil_type,
